id, orig-N, orig-E, orig-time, basic-N, basic-E, basic-time, known-N, known-E, known-time, all_dom-N, all_dom-E, all_dom-time, fast_dom-N, fast_dom-E, fast_dom-time, dom1-N, dom1-E, dom1-time, dom2-N, dom2-E, dom2-time, dom3-N, dom3-E, dom3-time, dom4-N, dom4-E, dom4-time, dom5-N, dom5-E, dom5-time, dom_nca-N, dom_nca-E, dom_nca-time, dom_nca_full-N, dom_nca_full-E, dom_nca_full-time, dom_mixed-N, dom_mixed-E, dom_mixed-time, dom_mixed_full-N, dom_mixed_full-E, dom_mixed_full-time
e_002, 1024, 3322, 0.00, 219, 1080, 0.00, 214, 1045, 0.00, 202, 955, 7.63, 214, 1045, 7.63, 214, 1045, 7.63, 214, 1045, 7.63, 214, 1045, 7.63, 214, 1045, 7.63, 214, 1045, 8.28, 214, 1045, 8.28, 202, 955, 8.34, 214, 1045, 8.34, 203, 1031, 13.21
e_003, 1024, 6055, 0.00, 919, 5594, 0.00, 402, 2266, 0.01, 199, 588, 0.01, 199, 588, 0.02, 199, 588, 0.03, 199, 588, 0.04, 402, 2266, 0.04, 402, 2266, 0.05, 199, 588, 0.06, 402, 2266, 0.06, 402, 2266, 0.07, 402, 2266, 0.07, 402, 2266, 0.08
e_004, 961, 5081, 0.00, 95, 524, 0.00, 7, 27, 0.00, 4, 8, 0.00, 4, 8, 0.00, 7, 27, 0.00, 7, 27, 0.00, 7, 27, 0.00, 7, 27, 0.00, 4, 8, 0.00, 7, 27, 0.00, 7, 27, 0.00, 7, 26, 0.00, 7, 26, 0.00
e_005, 1024, 5736, 0.00, 875, 5136, 0.00, 313, 1634, 0.00, 145, 444, 0.01, 145, 444, 0.02, 159, 477, 0.02, 159, 477, 0.03, 313, 1634, 0.03, 313, 1634, 0.03, 159, 477, 0.04, 313, 1634, 0.04, 313, 1634, 0.04, 313, 1632, 0.05, 313, 1632, 0.05
e_006, 808, 2211, 0.00, 19, 45, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00
e_007, 912, 4198, 0.00, 137, 570, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00
e_008, 2047, 15020, 0.00, 1908, 14272, 0.00, 405, 2528, 0.01, 170, 398, 0.02, 170, 398, 0.04, 170, 398, 0.05, 170, 398, 0.06, 405, 2528, 0.07, 405, 2528, 0.08, 170, 398, 0.09, 405, 2528, 0.10, 405, 2528, 0.10, 405, 2528, 0.11, 405, 2528, 0.12
e_009, 1000, 6804, 0.00, 380, 1677, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.01, 0, 0, 0.01, 0, 0, 0.01, 0, 0, 0.01, 0, 0, 0.01
e_010, 1016, 7005, 0.00, 798, 6136, 0.00, 655, 4493, 0.01, 566, 3230, 0.27, 634, 4091, 0.31, 652, 4444, 0.32, 640, 4211, 0.34, 637, 4166, 0.36, 581, 3736, 0.40, 569, 3604, 0.43, 655, 4478, 0.45, 596, 3688, 0.47, 655, 4479, 0.49, 645, 4389, 0.63
e_011, 4086, 15076, 0.00, 2219, 7792, 0.00, 181, 448, 0.01, 174, 410, 0.01, 174, 410, 0.02, 174, 410, 0.03, 174, 410, 0.03, 181, 448, 0.04, 181, 448, 0.04, 174, 410, 0.04, 181, 448, 0.05, 181, 448, 0.06, 181, 448, 0.06, 181, 448, 0.07
e_012, 4092, 15066, 0.00, 2357, 8332, 0.00, 239, 587, 0.01, 232, 535, 0.01, 232, 535, 0.02, 232, 535, 0.03, 232, 535, 0.03, 239, 587, 0.04, 239, 587, 0.04, 232, 535, 0.05, 239, 587, 0.05, 239, 587, 0.06, 239, 587, 0.06, 239, 587, 0.07
e_013, 1924, 7038, 0.00, 519, 2636, 0.00, 138, 504, 0.01, 102, 268, 0.01, 102, 268, 0.01, 112, 329, 0.02, 110, 313, 0.03, 118, 383, 0.03, 118, 383, 0.03, 110, 313, 0.04, 138, 504, 0.04, 138, 504, 0.04, 131, 467, 0.04, 131, 467, 0.05
e_014, 1951, 7847, 0.00, 670, 3275, 0.00, 141, 628, 0.01, 100, 356, 0.02, 111, 438, 0.02, 119, 520, 0.03, 118, 498, 0.03, 133, 556, 0.04, 124, 481, 0.04, 100, 362, 0.05, 141, 628, 0.06, 141, 624, 0.06, 141, 625, 0.07, 141, 625, 0.07
e_015, 1979, 9390, 0.00, 909, 4984, 0.00, 139, 622, 0.00, 46, 98, 0.01, 46, 98, 0.01, 88, 238, 0.02, 80, 205, 0.02, 131, 589, 0.03, 131, 589, 0.03, 80, 205, 0.03, 139, 622, 0.04, 139, 622, 0.04, 122, 572, 0.04, 122, 572, 0.05
e_016, 1939, 10655, 0.00, 285, 1016, 0.00, 14, 38, 0.00, 12, 24, 0.00, 12, 24, 0.00, 12, 24, 0.00, 12, 24, 0.00, 14, 38, 0.00, 14, 38, 0.00, 12, 24, 0.00, 14, 38, 0.00, 14, 38, 0.00, 14, 38, 0.00, 14, 38, 0.00
e_017, 886, 3800, 0.00, 188, 740, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00
e_018, 1923, 5964, 0.00, 707, 2734, 0.00, 150, 502, 0.00, 96, 212, 0.00, 96, 212, 0.01, 96, 212, 0.01, 96, 212, 0.01, 150, 502, 0.01, 150, 502, 0.01, 96, 212, 0.01, 150, 502, 0.02, 150, 502, 0.02, 150, 502, 0.02, 150, 502, 0.02
e_019, 2034, 11718, 0.00, 1669, 10045, 0.00, 349, 1630, 0.01, 204, 538, 0.02, 204, 538, 0.03, 208, 563, 0.04, 208, 563, 0.05, 345, 1568, 0.06, 345, 1568, 0.06, 204, 538, 0.07, 349, 1630, 0.08, 349, 1630, 0.08, 346, 1612, 0.09, 346, 1612, 0.10
