id, orig-N, orig-M, orig-time, basic-N, basic-M, basic-time, known-N, known-M, known-time, all_dom-N, all_dom-M, all_dom-time, fast_dom-N, fast_dom-M, fast_dom-time, dom12-N, dom12-M, dom12-time, dom3-N, dom3-M, dom3-time, dom4-N, dom4-M, dom4-time, dom5-N, dom5-M, dom5-time, dom_nca-N, dom_nca-M, dom_nca-time, dom_nca_full-N, dom_nca_full-M, dom_nca_full-time, dom_mixed-N, dom_mixed-M, dom_mixed-time, dom_mixed_full-N, dom_mixed_full-M, dom_mixed_full-time
e_002, 1024, 3322, 0.00, 219, 1080, 0.00, 214, 1045, 0.00, 202, 955, 9.13, 214, 1045, 9.13, 214, 1045, 9.13, 214, 1045, 9.13, 214, 1045, 9.14, 214, 1045, 9.14, 214, 1045, 9.14, 214, 1045, 9.14, 214, 1045, 9.14, 214, 1045, 9.14
e_003, 1024, 6055, 0.00, 919, 5594, 0.00, 402, 2266, 0.00, 199, 588, 0.01, 199, 588, 0.02, 402, 2266, 0.03, 199, 588, 0.03, 199, 588, 0.04, 199, 588, 0.05, 199, 588, 0.05, 199, 588, 0.06, 199, 588, 0.07, 199, 588, 0.08
e_004, 961, 5081, 0.00, 95, 524, 0.00, 7, 27, 0.00, 4, 8, 0.00, 4, 8, 0.00, 7, 26, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 7, 27, 0.00, 4, 8, 0.00
e_005, 1024, 5736, 0.00, 875, 5136, 0.00, 313, 1634, 0.00, 145, 444, 0.01, 145, 444, 0.02, 313, 1632, 0.03, 145, 444, 0.04, 145, 444, 0.04, 145, 444, 0.05, 145, 444, 0.06, 145, 444, 0.06, 159, 477, 0.07, 145, 444, 0.08
e_006, 808, 2211, 0.00, 19, 45, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00
e_007, 912, 4198, 0.00, 137, 570, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00
e_008, 2047, 15020, 0.00, 1908, 14272, 0.00, 405, 2528, 0.01, 170, 398, 0.02, 170, 398, 0.04, 405, 2528, 0.05, 170, 398, 0.06, 170, 398, 0.07, 170, 398, 0.08, 170, 398, 0.09, 170, 398, 0.10, 170, 398, 0.11, 170, 398, 0.12
e_009, 1000, 6804, 0.00, 380, 1677, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00
e_010, 1016, 7005, 0.00, 798, 6136, 0.00, 655, 4493, 0.01, 566, 3230, 0.45, 634, 4091, 0.50, 580, 3675, 0.62, 577, 3628, 0.74, 634, 4091, 0.79, 577, 3628, 0.93, 577, 3646, 1.01, 577, 3628, 1.15, 578, 3673, 1.26, 577, 3628, 1.38
e_011, 4086, 15076, 0.00, 2219, 7792, 0.00, 181, 448, 0.01, 174, 410, 0.01, 174, 410, 0.02, 181, 448, 0.02, 174, 410, 0.03, 174, 410, 0.04, 174, 410, 0.04, 174, 410, 0.05, 174, 410, 0.06, 174, 410, 0.07, 174, 410, 0.08
