id, orig-N, orig-M, orig-time, basic-N, basic-M, basic-time, known-N, known-M, known-time, all_dom-N, all_dom-M, all_dom-time, fast_dom-N, fast_dom-M, fast_dom-time, dom12-N, dom12-M, dom12-time, dom3-N, dom3-M, dom3-time, dom4-N, dom4-M, dom4-time, dom5-N, dom5-M, dom5-time, dom_nca-N, dom_nca-M, dom_nca-time, dom_nca_full-N, dom_nca_full-M, dom_nca_full-time, dom_mixed-N, dom_mixed-M, dom_mixed-time, dom_mixed_full-N, dom_mixed_full-M, dom_mixed_full-time
e_002, 1024, 3322, 0.00, 219, 1080, 0.00, 214, 1045, 0.00, 202, 955, 7.56, 214, 1045, 7.56, 214, 1045, 7.56, 214, 1045, 7.56, 214, 1045, 7.57, 214, 1045, 8.22, 214, 1045, 8.22, 202, 955, 8.29, 214, 1045, 8.29, 203, 1031, 13.18
e_003, 1024, 6055, 0.00, 919, 5594, 0.00, 402, 2266, 0.00, 199, 588, 0.01, 199, 588, 0.02, 199, 588, 0.03, 402, 2266, 0.03, 402, 2266, 0.03, 199, 588, 0.04, 402, 2266, 0.05, 402, 2266, 0.05, 402, 2266, 0.05, 402, 2266, 0.06
e_004, 961, 5081, 0.00, 95, 524, 0.00, 7, 27, 0.00, 4, 8, 0.00, 4, 8, 0.00, 7, 27, 0.00, 7, 27, 0.00, 7, 27, 0.00, 4, 8, 0.00, 7, 27, 0.00, 7, 27, 0.00, 7, 26, 0.00, 7, 26, 0.00
e_005, 1024, 5736, 0.00, 875, 5136, 0.00, 313, 1634, 0.00, 145, 444, 0.01, 145, 444, 0.01, 159, 477, 0.02, 313, 1634, 0.02, 313, 1634, 0.03, 159, 477, 0.03, 313, 1634, 0.03, 313, 1634, 0.03, 313, 1632, 0.04, 313, 1632, 0.04
e_007, 912, 4198, 0.00, 137, 570, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00
e_008, 2047, 15020, 0.00, 1908, 14272, 0.00, 405, 2528, 0.01, 170, 398, 0.02, 170, 398, 0.04, 170, 398, 0.05, 405, 2528, 0.06, 405, 2528, 0.07, 170, 398, 0.08, 405, 2528, 0.09, 405, 2528, 0.10, 405, 2528, 0.11, 405, 2528, 0.12
e_010, 1016, 7005, 0.00, 798, 6136, 0.00, 655, 4493, 0.01, 566, 3230, 0.28, 634, 4091, 0.31, 640, 4211, 0.33, 637, 4166, 0.35, 582, 3753, 0.38, 569, 3604, 0.42, 655, 4478, 0.43, 596, 3688, 0.46, 655, 4479, 0.47, 645, 4389, 0.62
e_011, 4086, 15076, 0.00, 2219, 7792, 0.00, 181, 448, 0.01, 174, 410, 0.01, 174, 410, 0.02, 174, 410, 0.02, 181, 448, 0.03, 181, 448, 0.03, 174, 410, 0.04, 181, 448, 0.04, 181, 448, 0.04, 181, 448, 0.05, 181, 448, 0.05
e_012, 4092, 15066, 0.00, 2357, 8332, 0.00, 239, 587, 0.01, 232, 535, 0.01, 232, 535, 0.02, 232, 535, 0.03, 239, 587, 0.03, 239, 587, 0.04, 232, 535, 0.04, 239, 587, 0.05, 239, 587, 0.05, 239, 587, 0.05, 239, 587, 0.06
e_013, 1924, 7038, 0.00, 519, 2636, 0.00, 138, 504, 0.00, 102, 268, 0.01, 102, 268, 0.02, 110, 313, 0.02, 118, 383, 0.02, 118, 383, 0.03, 110, 313, 0.03, 138, 504, 0.04, 138, 504, 0.04, 131, 467, 0.04, 131, 467, 0.04
e_014, 1951, 7847, 0.00, 670, 3275, 0.00, 141, 628, 0.01, 100, 356, 0.01, 111, 438, 0.02, 112, 464, 0.03, 133, 556, 0.03, 124, 481, 0.03, 100, 362, 0.04, 141, 628, 0.04, 141, 624, 0.05, 141, 625, 0.05, 141, 625, 0.06
e_015, 1979, 9390, 0.00, 909, 4984, 0.00, 139, 622, 0.00, 46, 98, 0.01, 46, 98, 0.01, 80, 205, 0.02, 131, 589, 0.02, 131, 589, 0.03, 80, 205, 0.03, 139, 622, 0.03, 139, 622, 0.03, 122, 572, 0.04, 122, 572, 0.04
e_016, 1939, 10655, 0.00, 285, 1016, 0.00, 14, 38, 0.00, 12, 24, 0.00, 12, 24, 0.00, 12, 24, 0.00, 14, 38, 0.00, 14, 38, 0.00, 12, 24, 0.00, 14, 38, 0.00, 14, 38, 0.00, 14, 38, 0.00, 14, 38, 0.00
e_018, 1923, 5964, 0.00, 707, 2734, 0.00, 150, 502, 0.00, 96, 212, 0.01, 96, 212, 0.01, 96, 212, 0.01, 150, 502, 0.01, 150, 502, 0.02, 96, 212, 0.02, 150, 502, 0.02, 150, 502, 0.03, 150, 502, 0.03, 150, 502, 0.03
e_019, 2034, 11718, 0.00, 1669, 10045, 0.00, 349, 1630, 0.01, 204, 538, 0.02, 204, 538, 0.03, 208, 563, 0.03, 345, 1568, 0.04, 345, 1568, 0.05, 204, 538, 0.06, 349, 1630, 0.06, 349, 1630, 0.07, 346, 1612, 0.07, 346, 1612, 0.08
e_020, 1906, 7039, 0.00, 593, 2888, 0.00, 130, 476, 0.00, 89, 235, 0.01, 89, 235, 0.01, 102, 281, 0.01, 112, 362, 0.02, 112, 362, 0.02, 102, 281, 0.02, 130, 476, 0.03, 130, 471, 0.03, 110, 397, 0.03, 97, 301, 0.04
e_021, 1872, 6147, 0.00, 488, 2193, 0.00, 80, 265, 0.00, 60, 138, 0.00, 60, 138, 0.01, 66, 169, 0.01, 74, 232, 0.01, 75, 238, 0.01, 63, 153, 0.01, 80, 265, 0.01, 80, 265, 0.02, 80, 263, 0.02, 80, 263, 0.02
e_022, 830, 1884, 0.00, 110, 314, 0.00, 20, 51, 0.00, 12, 24, 0.00, 12, 24, 0.00, 12, 24, 0.00, 12, 24, 0.00, 12, 24, 0.00, 12, 24, 0.00, 20, 51, 0.00, 20, 51, 0.00, 20, 50, 0.00, 20, 50, 0.00
