id, orig-N, orig-M, orig-time, basic-N, basic-M, basic-time, known-N, known-M, known-time, all_dom-N, all_dom-M, all_dom-time, fast_dom-N, fast_dom-M, fast_dom-time, dom12-N, dom12-M, dom12-time, dom3-N, dom3-M, dom3-time, dom4-N, dom4-M, dom4-time, dom5-N, dom5-M, dom5-time, dom_nca-N, dom_nca-M, dom_nca-time, dom_nca_full-N, dom_nca_full-M, dom_nca_full-time, dom_mixed-N, dom_mixed-M, dom_mixed-time, dom_mixed_full-N, dom_mixed_full-M, dom_mixed_full-time
e_001, 475, 651, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00
e_002, 1024, 3322, 0.00, 219, 1080, 0.00, 214, 1045, 0.00, 202, 955, 7.33, 214, 1045, 7.33, 219, 1080, 7.33, 219, 1080, 7.33, 219, 1080, 7.33, 219, 1080, 8.18, 219, 1080, 8.18, 202, 955, 8.37, 219, 1080, 8.37, 219, 1080, 8.37
e_003, 1024, 6055, 0.00, 919, 5594, 0.00, 402, 2266, 0.00, 199, 588, 0.01, 199, 588, 0.02, 199, 646, 0.02, 876, 5096, 0.03, 876, 5096, 0.03, 199, 648, 0.04, 919, 5594, 0.04, 917, 5532, 0.04, 919, 5594, 0.04, 919, 5594, 0.04
e_004, 961, 5081, 0.00, 95, 524, 0.00, 7, 27, 0.00, 4, 8, 0.00, 4, 8, 0.00, 7, 31, 0.00, 19, 65, 0.00, 18, 57, 0.00, 4, 9, 0.00, 95, 524, 0.00, 60, 251, 0.00, 95, 524, 0.00, 95, 524, 0.00
e_005, 1024, 5736, 0.00, 875, 5136, 0.00, 313, 1634, 0.00, 145, 444, 0.01, 145, 444, 0.01, 167, 576, 0.02, 775, 4205, 0.02, 763, 4131, 0.03, 159, 546, 0.03, 875, 5136, 0.03, 866, 4922, 0.03, 875, 5136, 0.03, 875, 5136, 0.03
e_006, 808, 2211, 0.00, 19, 45, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 17, 38, 0.00, 17, 38, 0.00, 0, 0, 0.00, 19, 45, 0.00, 17, 38, 0.00, 19, 45, 0.00, 19, 45, 0.00
e_007, 912, 4198, 0.00, 137, 570, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 10, 0.00, 95, 347, 0.00, 95, 347, 0.00, 4, 10, 0.00, 137, 570, 0.00, 129, 476, 0.00, 137, 570, 0.00, 137, 570, 0.00
e_008, 2047, 15020, 0.00, 1908, 14272, 0.00, 405, 2528, 0.01, 170, 398, 0.02, 170, 398, 0.04, 170, 465, 0.05, 1512, 9567, 0.08, 1546, 9816, 0.12, 170, 467, 0.13, 1908, 14272, 0.14, 1894, 13387, 0.14, 1908, 14272, 0.15, 1908, 14272, 0.15
e_009, 1000, 6804, 0.00, 380, 1677, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 344, 1398, 0.00, 344, 1398, 0.00, 0, 0, 0.00, 380, 1677, 0.00, 380, 1571, 0.00, 380, 1677, 0.00, 380, 1677, 0.00
e_010, 1016, 7005, 0.00, 798, 6136, 0.00, 655, 4493, 0.01, 566, 3230, 0.28, 634, 4091, 0.32, 730, 5541, 0.32, 721, 5349, 0.32, 661, 4772, 0.39, 583, 4291, 0.69, 798, 6136, 0.69, 722, 4521, 0.73, 798, 6136, 0.73, 798, 6136, 0.73
